Title,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Experience (Years),PWD Friendly
Content Writer,SEO,Copywriting,Grammar,WordPress,Research,5,1
Graphic Designer 1,Typography,Canva,Illustrator,Photoshop,Branding,4,1
Transcriptionist,Grammar,Transcription Tools,Listening,Detail Orientation,Typing,2,0
Online Tutor,Lesson Planning,Zoom,Subject Expertise,Communication,Patience,4,1
E-commerce Assistant,Order Processing,Customer Service,Inventory Management,Product Listing,Shopify,3,0
Graphic Designer 2,Branding,Typography,Illustrator,Photoshop,Canva,3,0
Technical Support Specialist,Remote Tools,Documentation,Networking,Customer Service,Troubleshooting,4,1
Data Entry Clerk,Typing,Time Management,Accuracy,Data Validation,MS Excel,4,1
Salesforce Administrator,CRM,Salesforce,Data Entry,Workflows,Excel,2,1
Virtual Assistant,Google Workspace,Attention to Detail,Task Management,Email Management,Scheduling,2,0
Accessibility Tester,HTML,UX Testing,WCAG,Reporting,Screen Reader,1,0
Customer Support Agent,CRM,Typing,Communication,Problem Solving,Multitasking,2,1
Transcriptionist,Transcription Tools,Listening,Typing,Grammar,Detail Orientation,1,0
Cybersecurity Analyst,Firewalls,Risk Assessment,Networking,Security,Incident Response,3,1
Social Media Manager,Engagement,Content Planning,Analytics,Facebook Ads,Instagram,1,1
UX Designer,User Research,Prototyping,Figma,Wireframing,Accessibility,5,1
Content Writer,WordPress,SEO,Copywriting,Research,Grammar,1,0
Graphic Designer 3,Illustrator,Photoshop,Branding,Typography,Canva,2,1
Data Scientist,Machine Learning,Data Science,Statistics,Pandas,Python,2,1
Backend Developer,SQL,AWS,Spring Boot,Microservices,Java,2,1
Blog Manager,Content Editing,Analytics,WordPress,Editorial Calendar,SEO,3,1
Data Entry Clerk,Typing,Data Validation,MS Excel,Accuracy,Time Management,1,1
Salesforce Administrator,Workflows,CRM,Data Entry,Salesforce,Excel,1,1
Mobile App Tester,Testing Tools,Attention to Detail,Android,Bug Reporting,iOS,1,0
Welding,MIG Welding,TIG Welding,Safety Practices,Blueprint Reading,Metal Fabrication,2,1
Carpentry,Framing,Blueprint Reading,Hand Tools,Safety Practices,Attention to Detail,1,1
Masory,Bricklaying,Stonework,Mortar Mixing,Blueprint Reading,Safety Practices,1,0
Plumbing,Pipe Fitting,Fixture Installation,Safety Practices,Blueprint Reading,Problem Solving,3,1
Packaging,Quality Control,Attention to Detail,Machine Operation,Safety Practices,Teamwork,2,1
Electrical Work,Wiring,Circuit Design,Safety Practices,Troubleshooting,Blueprint Reading,4,0
Animal Care,Animal Handling,Basic Veterinary Knowledge,Feeding,Grooming,Record Keeping,2,1
Irrigation Maintenance,System Installation,Troubleshooting,Water Management,Safety Practices,Equipment Operation,3,1
Inventory handling,Stock Management,Attention to Detail,Data Entry,Organization,Safety Practices,1,0
Package Sorting,Attention to Detail,Time Management,Teamwork,Safety Practices,Organization,1,1
Cooking,Food Preparation,Safety Practices,Recipe Following,Time Management,Teamwork,2,0
Housekeeping,Cleaning Techniques,Attention to Detail,Time Management,Safety Practices,Organization,1,1
Casheir,Customer Service,Cash Handling,Attention to Detail,Time Management,POS Systems,2,0
Service Crew,Customer Service,Teamwork,Time Management,Safety Practices,Communication,1,1
Sorting Packages,Attention to Detail,Time Management,Organization,Teamwork,Safety Practices,1,0
