Skill                     , Category
Troubleshooting           , Support
AWS                       , Digital Management
Accessibility             , Support
Accuracy                  , Professional
Analytics                 , Digital Management
Android                   , Digital Coding
Animal Handling           , Labor
Attention to Detail       , Professional
Basic Veterinary Knowledge, Labor
Blueprint Reading         , Mechanical
Branding                  , Marketing
Bricklaying               , Manual
Bug Reporting             , Support
CRM                       , Support
Canva                     , Creative Digital
Cash Handling             , Support
Circuit Design            , Mechanical
Cleaning Techniques       , Labor
Communication             , Support
Content Editing           , Content Writing
Content Planning          , Content Writing
Copywriting               , Content Writing
Customer Service          , Support
Data Entry                , Support
Data Science              , Digital Management
Data Validation           , Administrative
Detail Orientation        , Professional
Documentation             , Content Writing
Editorial Calendar        , Content Writing
Email Management          , Administrative
Engagement                , Marketing
Equipment Operation       , Mechanical
Excel                     , Administrative
Facebook Ads              , Marketing
Feeding                   , Labor
Figma                     , Creative Digital
Firewalls                 , Digital Management
Fixture Installation      , Mechanical
Food Preparation          , Labor
Framing                   , Mechanical
Google Workspace          , Administrative
Grammar                   , Content Writing
Grooming                  , Manual
HTML                      , Digital Coding
Hand Tools                , Manual
Illustrator               , Creative Digital
Incident Response         , Support
Instagram                 , Marketing
Inventory Management      , Administrative
Java                      , Digital Coding
Lesson Planning           , Professional
Listening                 , Creative Audio
MIG Welding               , Manual
MS Excel                  , Professional
Machine Learning          , Digital Coding
Machine Operation         , Digital Coding
Metal Fabrication         , Labor
Microservices             , Creative Digital
Mortar Mixing             , Labor
Multitasking              , Support
Networking                , Marketing
Order Processing          , Transcription
Organization              , Support
POS Systems               , Transcription
Pandas                    , Digital Coding
Patience                  , Support
Photoshop                 , Creative Digital
Pipe Fitting              , Manual
Problem Solving           , Professional
Product Listing           , Transcription
Prototyping               , Manual
Python                    , Digital Coding
Quality Control           , Manual
Recipe Following          , Manual
Record Keeping            , Transcription
Remote Tools              , Manual
Reporting                 , Professional
Research                  , Professional
Risk Assessment           , Administrative
SEO                       , Administrative
SQL                       , Digital Coding
Safety Practices          , Manual
Salesforce                , Marketing
Scheduling                , Support
Screen Reader             , Creative Audio
Security                  , Administrative
Shopify                   , Marketing
Spring Boot               , Digital Coding
Statistics                , Manual
Stonework                 , Labor
Subject Expertise         , Professional
System Installation       , Manual
TIG Welding               , Labor
Task Management           , Administrative
Teamwork                  , Support
Testing Tools             , Support
Time Management           , Manual
Transcription Tools       , Transcription
Troubleshooting           , Manual
Typing                    , Manual
Typography                , Professional
UX Testing                , Digital Coding
User Research             , Professional
WCAG                      , Professional
Water Management          , Manual
Wireframing               , Creative Digital
Wiring                    , Labor
WordPress                 , Content Writing
Workflows                 , Creative Digital
Zoom                      , Professional
iOS                       , Digital Coding
Stock Management          , Transcription
